Folio,ClienteID,VendedorID,TimeID
A003920,5031,8,20180712
A003921,5031,8,20180909
A003922,5031,8,20220725
A003923,5603,4,20170315
A003924,5650,2,20220716
A003925,5143,1,20170202
A003926,5092,7,20171009
A003927,5781,7,20170502
A003928,5421,6,20220523
A003929,5286,1,20211031
A003930,5286,1,20210610
A003931,5046,7,20140810
A003932,5777,7,20160601
A003933,5819,5,20200209
A003934,5050,7,20200817
A003935,5034,8,20200113
A003936,5044,2,20201004
A003937,5183,2,20220925
A003938,5819,5,20200612
A003940,5819,5,20160519
A003941,5223,1,20170528
A003942,5223,1,20201118
A003943,5223,1,20170908
A003944,5512,5,20200830
A003945,5050,7,20210214
A003946,5050,7,20170827
A003947,5018,7,20160603
A003948,5512,5,20221120
A003949,0083,0,20221208
A003950,0110,0,20170418
A003951,0112,0,20150420
A003952,0095,0,20160525
A003953,0034,0,20140318
A003954,5056,8,20180902
A003955,5056,8,20150809
A003956,5308,4,20220504
A003957,5333,4,20180307
A003958,5075,8,20140826
A003959,5056,8,20140317
A003960,5028,4,20150722
A003961,5214,4,20180818
A003962,5712,6,20170802
A003963,5709,7,20160808
A003964,5094,1,20140615
A003965,5656,6,20140418
A003966,5234,1,20150528
A003967,5391,8,20160226
A003968,5234,1,20210929
A003969,0008,3,20140127
A003970,0008,3,20200814
A003971,0008,3,20201024
A003972,5245,7,20191210
A003973,5126,7,20190529
A003974,5011,7,20190927
A003975,5088,4,20140328
A003976,5103,8,20151012
A003977,5641,1,20210919
A003978,5307,4,20190804
A003979,5603,4,20210815
A003980,5061,8,20210717
A003981,5031,8,20201026
A003982,5734,5,20150221
A003983,5050,7,20220812
A003984,5262,1,20150125
A003985,5237,1,20160827
A003986,5169,1,20200703
A003987,5234,1,20190917
A003988,5537,4,20210408
A003989,5673,6,20160724
A003990,5173,8,20170622
A003991,5174,8,20210722
A003992,5245,7,20190114
A003993,5011,7,20190820
A003994,5013,7,20181020
A003995,5542,5,20210522
A003996,5453,1,20160709
A003997,5453,1,20150112
A003998,5223,1,20211216
A003999,5130,1,20220928
A004000,5130,1,20150506
A004001,5015,1,20160621
A004002,5001,7,20210517
A004003,5453,1,20210102
A004004,5210,8,20210627
A004005,5082,2,20140308
A004006,5040,7,20200113
A004007,5827,2,20190517
A004008,5064,8,20150606
A004009,0093,3,20210315
A004010,5099,NO PROPORCIONADO,20221106
A004011,5099,7,20170520
A004012,5099,7,20150308
A004013,0093,3,20221111
A004014,5780,1,20160801
A004015,5187,7,20140303
A004016,5022,8,20140520
A004017,5001,7,20150409
A004018,0002,3,20141019
A004019,5686,6,20140903
A004020,5081,2,20151217
A004021,5099,7,20140923
A004022,5159,7,20221027
A004023,5014,7,20180404
A004024,5421,6,20170210
A004025,5062,7,20210702
A004026,5827,2,20201105
A004027,0002,3,20211109
A004028,5686,6,20171206
A004029,5226,7,20170714
A004030,5392,2,20140926
A004031,5751,9,20160918
A004032,5751,9,20160516
A004033,5326,4,20221222
A004034,5392,2,20180204
A004035,5650,2,20180312
A004036,5213,8,20220602
A004037,0011,0,20180604
A004038,5734,5,20161225
A004039,5082,2,20150106
A004040,5050,7,20201119
A004041,0032,0,20220417
A004042,0032,4,20180618
