Folio,ClienteID,VendedorID,Embarque,TimeID
A0020915,5209,8,RUT,20150601
A0020916,5038,2,RUT,20161007
A0020917,5038,2,RUT,20180630
A0020918,5038,2,RUT,20190411
A0020919,5038,2,RUT,20171027
A0020920,5028,4,RUT,20200801
A0020921,5028,4,RUT,20160629
A0020922,5038,2,RUT,20220212
A0020923,5038,2,RUT,20220320
A0020924,5785,2,RUT,20150301
A0020925,5785,2,RUT,20140703
A0020926,5245,7,RUT,20161128
A0020927,5245,7,RUT,20200210
A0020928,5038,2,RUT,20190421
A0020929,5176,8,NO PROPORCIONADO,20190420
A0020930,5176,8,RUT,20170604
A0020931,5096,7,RUT,20200410
A0020933,5096,7,RUT,20170630
A0020934,5096,7,RUT,20180810
A0020935,5096,7,RUT,20190707
A0020936,5096,7,RUT,20201020
A0020937,5038,2,RUT,20180516
A0020938,5038,2,RUT,20201114
A0020939,5038,2,RUT,20190212
A0020940,5147,7,RUT,20141201
A0020941,5440,0,RUT,20220523
A0020942,5440,0,RUT,20180228
A0020943,5783,5,RUT,20211027
A0020944,5783,5,RUT,20140131
A0020945,5011,7,RUT,20181101
A0020946,5130,1,RUT,20210925
A0020947,5683,1,RUT,20220526
A0020948,5683,1,RUT,20150517
A0020949,5038,2,RUT,20170515
A0020950,5038,2,RUT,20220805
A0020951,5038,2,RUT,20180318
A0020952,5523,5,RUT,20160715
A0020953,5015,1,RUT,20171006
A0020954,5015,1,RUT,20180804
A0020955,5733,2,RUT,20190701
A0020956,5733,2,RUT,20191027
A0020957,5733,2,RUT,20201116
A0020958,5039,7,RUT,20140408
A0020959,5039,7,RUT,20201126
A0020960,5034,8,NO PROPORCIONADO,20180918
A0020961,5034,8,NO PROPORCIONADO,20150912
A0020962,5061,8,NO PROPORCIONADO,20140307
A0020963,5845,5,RUT,20210805
A0020964,5845,5,RUT,20200124
A0020965,5132,1,RUT,20150430
A0020966,5132,1,RUT,20170914
A0020967,5013,7,RUT,20191126
A0020968,5013,7,RUT,20190220
A0020969,5013,7,RUT,20221009
A0020970,5542,5,RUT,20220404
A0020971,5542,5,RUT,20160219
A0020972,5065,8,RUT,20171121
A0020973,5065,8,RUT,20210625
A0020974,5234,1,RUT,20210210
A0020975,5234,1,RUT,20141225
A0020976,5234,1,RUT,20140326
A0020977,5453,1,RUT,20160228
A0020978,5453,1,RUT,20160320
A0020979,5453,1,RUT,20180228
A0020980,5453,1,RUT,20210510
A0020981,5453,1,RUT,20200123
A0020982,5601,8,NO PROPORCIONADO,20220620
A0020983,5135,1,RUT,20170225
A0020984,5135,1,RUT,20180630
A0020985,5223,1,RUT,20211201
A0020986,5223,1,RUT,20140520
A0020987,5223,1,RUT,20201025
A0020988,5307,4,RUT,20181119
A0020989,5307,4,RUT,20140129
A0020990,5307,4,RUT,20210414
A0020991,5134,1,RUT,20211221
A0020992,5134,1,RUT,20200906
A0020993,5307,4,RUT,20200730
A0020994,5307,4,RUT,20220706
A0020995,5307,4,RUT,20200615
A0020996,5093,7,RUT,20210817
A0020997,5057,2,RUT,20211204
A0020998,5099,7,RUT,20141030
A0020999,5099,7,RUT,20160918
A0021000,5099,7,RUT,20161117
A0021001,5603,4,RUT,20150920
A0021002,5603,4,RUT,20181028
A0021003,5603,4,RUT,20211110
A0021004,5603,4,RUT,20220916
A0021005,5054,2,RUT,20180625
A0021006,5187,7,RUT,20140311
A0021007,5031,8,RUT,20181110
A0021008,5031,8,RUT,20220323
A0021009,0008,3,RUT,20200826
A0021010,0008,3,RUT,20181229
A0021011,5020,8,RUT,20160407
A0021012,5020,8,RUT,20160703
A0021013,5790,9,RUT,20200916
A0021014,5194,5,RUT,20141020
A0021015,0008,3,RUT,20170709
A0021016,0008,3,RUT,20190830
A0021017,0008,3,RUT,20190722
A0021018,0008,3,RUT,20200621
A0021019,0008,3,RUT,20180729
A0021020,0008,3,RUT,20190604
A0021021,0008,3,RUT,20221005
A0021022,0008,3,RUT,20200419
A021023,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180819
A021024,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170424
A021025,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150801
A021026,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220122
A021027,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150603
A021028,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180701
A021029,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201221
A021030,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200322
A021031,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190807
A021032,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160914
A021033,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160830
A021034,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190907
A021035,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140325
A021036,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20221019
A021037,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190811
A021038,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20161005
A021039,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160922
A021040,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150430
A021041,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190224
A021042,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170129
A021043,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140916
A021044,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20161018
A021045,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210618
A021046,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20141017
A021047,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20171115
A021048,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20151012
A021049,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170724
A021050,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150316
A021051,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20191002
A021052,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20171201
A021053,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170701
A021054,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140927
A021055,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180119
A021056,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180612
A021057,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140328
A021058,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20161004
A021059,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200603
A021060,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140513
A021061,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20211206
A021062,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190801
A021063,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200519
A021064,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210211
A021065,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20191213
A021066,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140716
A021067,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170428
A021068,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201126
A021069,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160911
A021070,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150422
A021071,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180329
A021072,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170525
A021073,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20221119
A021074,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200827
A021075,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201122
A021076,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170812
A021077,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170403
A021078,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201210
A021079,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201123
A021080,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20211002
A021081,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190317
A021082,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190505
A021083,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20171211
A021084,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140303
A021085,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220701
A021086,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20171008
A021087,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20221113
A021088,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20191223
A021089,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190716
A021090,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180111
A021091,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190326
A021092,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180830
A021093,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20141209
A021094,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210520
A021095,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180125
A021096,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200507
A021097,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210619
A021098,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150317
A021099,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220102
A021100,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220729
A021101,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150424
A021102,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220808
A021103,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190626
A021104,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20191003
A021105,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20181006
