TimeID,Anio,Semestre,Cuatrimestre,Trimestre,Mes,Dia_semana,Dia
20140101,2014,1S,1C,1T,1,Wednesday,1
20140102,2014,1S,1C,1T,1,Thursday,2
20140103,2014,1S,1C,1T,1,Friday,3
20140104,2014,1S,1C,1T,1,Saturday,4
20140105,2014,1S,1C,1T,1,Sunday,5
20140106,2014,1S,1C,1T,1,Monday,6
20140107,2014,1S,1C,1T,1,Tuesday,7
20140108,2014,1S,1C,1T,1,Wednesday,8
20140109,2014,1S,1C,1T,1,Thursday,9
20140110,2014,1S,1C,1T,1,Friday,10
20140111,2014,1S,1C,1T,1,Saturday,11
20140112,2014,1S,1C,1T,1,Sunday,12
20140113,2014,1S,1C,1T,1,Monday,13
20140114,2014,1S,1C,1T,1,Tuesday,14
20140115,2014,1S,1C,1T,1,Wednesday,15
20140116,2014,1S,1C,1T,1,Thursday,16
20140117,2014,1S,1C,1T,1,Friday,17
20140118,2014,1S,1C,1T,1,Saturday,18
20140119,2014,1S,1C,1T,1,Sunday,19
20140120,2014,1S,1C,1T,1,Monday,20
20140121,2014,1S,1C,1T,1,Tuesday,21
20140122,2014,1S,1C,1T,1,Wednesday,22
20140123,2014,1S,1C,1T,1,Thursday,23
20140124,2014,1S,1C,1T,1,Friday,24
20140125,2014,1S,1C,1T,1,Saturday,25
20140126,2014,1S,1C,1T,1,Sunday,26
20140127,2014,1S,1C,1T,1,Monday,27
20140128,2014,1S,1C,1T,1,Tuesday,28
20140129,2014,1S,1C,1T,1,Wednesday,29
20140130,2014,1S,1C,1T,1,Thursday,30
20140131,2014,1S,1C,1T,1,Friday,31
20140201,2014,1S,1C,1T,2,Saturday,1
20140202,2014,1S,1C,1T,2,Sunday,2
20140203,2014,1S,1C,1T,2,Monday,3
20140204,2014,1S,1C,1T,2,Tuesday,4
20140205,2014,1S,1C,1T,2,Wednesday,5
20140206,2014,1S,1C,1T,2,Thursday,6
20140207,2014,1S,1C,1T,2,Friday,7
20140208,2014,1S,1C,1T,2,Saturday,8
20140209,2014,1S,1C,1T,2,Sunday,9
20140210,2014,1S,1C,1T,2,Monday,10
20140211,2014,1S,1C,1T,2,Tuesday,11
20140212,2014,1S,1C,1T,2,Wednesday,12
20140213,2014,1S,1C,1T,2,Thursday,13
20140214,2014,1S,1C,1T,2,Friday,14
20140215,2014,1S,1C,1T,2,Saturday,15
20140216,2014,1S,1C,1T,2,Sunday,16
20140217,2014,1S,1C,1T,2,Monday,17
20140218,2014,1S,1C,1T,2,Tuesday,18
20140219,2014,1S,1C,1T,2,Wednesday,19
20140220,2014,1S,1C,1T,2,Thursday,20
20140221,2014,1S,1C,1T,2,Friday,21
20140222,2014,1S,1C,1T,2,Saturday,22
20140223,2014,1S,1C,1T,2,Sunday,23
20140224,2014,1S,1C,1T,2,Monday,24
20140225,2014,1S,1C,1T,2,Tuesday,25
20140226,2014,1S,1C,1T,2,Wednesday,26
20140227,2014,1S,1C,1T,2,Thursday,27
20140228,2014,1S,1C,1T,2,Friday,28
20140301,2014,1S,1C,1T,3,Saturday,1
20140302,2014,1S,1C,1T,3,Sunday,2
20140303,2014,1S,1C,1T,3,Monday,3
20140304,2014,1S,1C,1T,3,Tuesday,4
20140305,2014,1S,1C,1T,3,Wednesday,5
20140306,2014,1S,1C,1T,3,Thursday,6
20140307,2014,1S,1C,1T,3,Friday,7
20140308,2014,1S,1C,1T,3,Saturday,8
20140309,2014,1S,1C,1T,3,Sunday,9
20140310,2014,1S,1C,1T,3,Monday,10
20140311,2014,1S,1C,1T,3,Tuesday,11
20140312,2014,1S,1C,1T,3,Wednesday,12
